,Average Rank,Film,Year,Year Rotten Tomatoes' Top 100,Rotten Tomatoes' Top 100
0,19,Lord of the Rings: The Fellowship of the Ring,2001,,unranked
1,37,The Dark Knight,2008,,unranked
2,43,Lord of the Rings: Return of the King,2003,,unranked
3,49,Lord of the Rings: The Two Towers,2002,,unranked
4,60,Gladiator,2000,,unranked
5,64,Spirited Away,2001,,unranked
6,76,Mulholland Drive,2001,,unranked
7,77,In the Mood for Love,2000,,unranked
8,90,Eternal Sunshine of the Spotless Mind,2004,,unranked
9,97,Inglourious Basterds,2009,,unranked
10,108,Amelie,2001,,unranked
